OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,
00234200,ST. CATHERINE UNIVERSITY,MN,551051789,Private-Nonprofit,318,402,4231674,657,4231674,
00234300,COLLEGE OF SAINT SCHOLASTICA,MN,558114199,Private-Nonprofit,140,163,1923079,277,1923079,
00234500,UNIVERSITY OF ST THOMAS,MN,551051096,Private-Nonprofit,435,521,7810760,903,7810760,
00234600,CONCORDIA COLLEGE - MOORHEAD,MN,565620001,Private-Nonprofit,142,163,1950649,288,1950649,
00234700,CONCORDIA UNIVERSITY - SAINT PAUL,MN,551045494,Private-Nonprofit,101,121,1158793,201,1158793,
00235000,VERMILION COMMUNITY COLLEGE,MN,557311996,Public,40,41,265945,82,265945,
00235300,GUSTAVUS ADOLPHUS COLLEGE,MN,560821498,Private-Nonprofit,190,207,2706859,382,2706859,
00235400,HAMLINE UNIVERSITY,MN,551041284,Private-Nonprofit,415,499,5479259,922,5479259,
00235500,HIBBING COMMUNITY COLLEGE,MN,557463300,Public,9,9,56171,18,56171,
00235600,ITASCA COMMUNITY COLLEGE,MN,557443397,Public,11,12,63713,23,63713,
00235700,LUTHER SEMINARY,MN,551081496,Private-Nonprofit,0,0,0,0,0,
00235800,MACALESTER COLLEGE,MN,551051899,Private-Nonprofit,95,110,1699162,188,1699162,
00236000,"MINNESOTA STATE UNIVERSITY, MANKATO",MN,560016068,Public,599,720,5388323,1119,5388323,
00236100,MARTIN LUTHER COLLEGE,MN,560733965,Private-Nonprofit,24,24,156875,42,156875,
