OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00224800,CRANBROOK ACADEMY OF ART,MI,483045162,PRIVATE,0,0,0,0,0
00224900,DAVENPORT UNIVERSITY,MI,495129396,PRIVATE,164,202,752231,372,672568
00225100,DELTA COLLEGE,MI,487100001,PUBLIC,7,8,29315,13,27315
00225200,WILLIAM TYNDALE COLLEGE,MI,483313149,PRIVATE,6,6,18255,8,14684
00225300,DAVENPORT UNIVERSITY - EASTERN REGION,MI,481263799,PRIVATE,28,33,109452,47,95589
00225900,EASTERN MICHIGAN UNIVERSITY,MI,481972214,PUBLIC,911,982,5866107,1775,5500918
00226100,CHARLES STEWART MOTT COMMUNITY COLLEGE,MI,485032089,PUBLIC,0,0,0,0,0
00226200,KETTERING UNIVERSITY,MI,485044898,PRIVATE,1,1,16700,2,16700
00226400,GOGEBIC COMMUNITY COLLEGE,MI,499381365,PUBLIC,3,3,11322,6,11322
00226500,GRACE BIBLE COLLEGE,MI,495091998,PRIVATE,16,18,113837,33,112487
00226600,CORNERSTONE UNIVERSITY,MI,495255897,PRIVATE,58,76,480051,135,464289
00226700,GRAND RAPIDS COMMUNITY COLLEGE,MI,495033295,PUBLIC,14,14,54969,25,51984
00226800,GRAND VALLEY STATE UNIVERSITY,MI,494019403,PUBLIC,1,1,10000,1,10000
00226900,GREAT LAKES CHRISTIAN COLLEGE,MI,489171299,PRIVATE,12,13,64406,22,64101
00227400,JACKSON COMMUNITY COLLEGE,MI,492018399,PUBLIC,6,6,26836,12,24894
00227800,LANSING COMMUNITY COLLEGE,MI,489331293,PUBLIC,1,1,11445,2,11445
00227900,LAWRENCE TECHNOLOGICAL UNIVERSITY,MI,480751058,PRIVATE,264,302,1730082,515,1610552
00228200,MADONNA UNIVERSITY,MI,481501173,PRIVATE,30,34,131461,52,125961
00228400,MARYGROVE COLLEGE,MI,482212599,PRIVATE,5,5,32164,5,32164
00228800,ROCHESTER COLLEGE,MI,483072764,PRIVATE,2,2,10664,3,10664
00229400,MONROE COUNTY COMMUNITY COLLEGE,MI,481619746,PUBLIC,3,3,7760,4,6131
00229500,MONTCALM COMMUNITY COLLEGE,MI,488859723,PUBLIC,0,0,0,0,0
00229700,MUSKEGON COMMUNITY COLLEGE,MI,494421432,PUBLIC,1,1,3200,2,3200
00229900,NORTH CENTRAL MICHIGAN COLLEGE,MI,497708740,PUBLIC,1,1,2935,1,2935
00230200,NORTHWESTERN MICHIGAN COLLEGE,MI,496863061,PUBLIC,23,26,184936,39,157976
00230300,OAKLAND COMMUNITY COLLEGE,MI,483042266,PUBLIC,3,3,8170,6,8170
00230800,OLIVET COLLEGE,MI,490769902,PRIVATE,33,39,239924,62,230861
00231000,ST. CLAIR COUNTY COMMUNITY COLLEGE,MI,480603864,PUBLIC,3,3,8110,5,8110
00231100,KUYPER COLLEGE,MI,495259749,PRIVATE,4,4,18798,7,18798
00231300,SACRED HEART MAJOR SEMINARY,MI,482061799,PRIVATE,0,0,0,0,0
